id;highscore;;
1;11;;
id;künstler_name;künstler_streams;song
1;The neighbourhood;1000000;Sweather weather
2;Billie Eilish;2470000;lovley
4;Sabrina Carpenter;300000;Espresso
5;Vance Joy;2000000;Riptide
6;Drake;1200000;Gods Plan
7;Kendrick Lamar;11009562;Not Like US
8;Lady Gaga;9564310;Die With a Smile
9;Kendrick Lamar;9057832;luther
10;Billlie Eilish;7556983;BIRDS OF A FEATHER
11;ROSE;7253795;APT
12;Bad Bunny;6865751;DtMF
13;Lady Gaga;687740;Abracadabra
14;Kendrick Lamar;6550133;tv off
15;Kendrick Lamar;6000000;All The Stars
16;Gracie Abrams;5107077;Thats So True
17;Bad Bunny;5095579;BAILE INoLIDABLE
18;Billie EiIish;4988433;WILDFLOWER
19;Kendrick Lamar;4732924;squabble up
20;The Weekend;4530552;Timeless
21;Lola Young;4480000;Messy
22;Chappell Roan;4224704;Good Luck, Babe!
23;Jimin;4171136;Who
24;Bad Bunny;4158385;NUEVAYoL
25;Lisa;4098441;Born Again
26;Neton Vega;3983281;Loco
27;Gigi Perez;3882523;Sailor Song
28;Doechii;3880077;DENIAL IS A RIVER
29;Bad Bunny;3774256;VOY ALLeVARTE PA PR
30;Chappell Roan;3683278;Pink Pony Club
31;Benson Boone;3677557;Beautiful  Things
32;The Weekend;3486022;Cry For Me
33;SZA;3220524;30 For 30
34;Kendrick Lamar;3204139;HUMBLE
35;Bad Bunny;3135058;VeLDA
36;Bad Bunny;3035058;EoO
37;Gabito Ballesteros;3000716;7 Dias
38;Tyler;2880723;Like Him
39;The Weekend;3;One Of The Girls
40;Sabrina Carpenter;2808907;Taste
41;Rauw Alejandro;2775727;Que Pasaria
42;Kendrick Lamar ;2763234;Money Trees
43;The Weekend;2707523;Sao Paulo
44;Lord Huron;2690234;The Night We Met
45;Tyler;2678412;See You Again
46;Aleman;2675891;Te Queria Ver
47;KAROL G;2659222;Si Antes Te Hubiera Conocido
48;Tate MCRae;2634781;Sports Car
49;Teddy Swims;2734127;Lose Control 
50;yung kai;2633012;blue
51;Alleh;2562122;capaz
52;Rauw Alejandro;2557212;Khe?
53;Sabrina Carpenter;2519252;Please Please Please
54;SZA;2500000;BMF
55;Tito Double P;2417222;Rosones
56;Linkin Park;2300333;The Emptiness Machine
